"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Price","FamilySize","Child","AgeInterval"
"1","3","female",35,0,0,7.75,"Q",7.75,1,"0","18-39"
"0","3","male",22,0,0,8.05,"S",8.05,1,"0","18-39"
"1","3","male",17,0,0,56.4958,"S",8.07082857142857,1,"0","13-17"
"1","3","male",32,0,0,56.4958,"S",8.07082857142857,1,"0","18-39"
"1","3","male",28,0,0,56.4958,"S",8.07082857142857,1,"0","18-39"
"0","3","male",44,0,0,56.4958,"S",8.07082857142857,1,"0","40-54"
"0","3","male",28,0,0,56.4958,"S",8.07082857142857,1,"0","18-39"
"1","3","male",26,0,0,56.4958,"S",8.07082857142857,1,"0","18-39"
"1","3","male",32,0,0,56.4958,"S",8.07082857142857,1,"0","18-39"
"1","1","female",40,1,1,134.5,"C",67.25,3,"0","18-39"
"1","1","female",41,0,0,134.5,"C",67.25,1,"0","40-54"
"1","1","male",21,0,0,30,"S",30,1,"0","18-39"
"1","1","female",28,0,0,110.8833,"C",27.720825,1,"0","18-39"
"1","1","female",39,1,1,110.8833,"C",27.720825,3,"0","18-39"
"1","1","male",17,0,2,110.8833,"C",27.720825,3,"0","13-17"
"0","1","male",49,1,1,110.8833,"C",27.720825,3,"0","40-54"
"1","1","female",58,1,0,89.1042,"C",44.5521,2,"0","55-100"
"1","1","male",49,1,0,89.1042,"C",44.5521,2,"0","40-54"
"0","1","male",54,0,0,51.8625,"S",51.8625,1,"0","40-54"
"1","1","female",30,1,0,51.8625,"S",51.8625,2,"0","18-39"
"1","1","female",49,0,0,25.9292,"S",25.9292,1,"0","40-54"
"1","1","female",48,0,0,25.9292,"S",25.9292,1,"0","40-54"
"1","1","male",31,1,0,57,"S",28.5,2,"0","18-39"
"1","1","female",17,1,0,57,"S",28.5,2,"0","13-17"
"0","1","male",56,0,0,30.6958,"C",30.6958,1,"0","55-100"
"0","1","male",36,1,0,78.85,"S",39.425,2,"0","18-39"
"1","1","female",26,0,0,78.85,"S",39.425,1,"0","18-39"
"1","1","female",33,1,0,90,"Q",45,2,"0","18-39"
"0","1","male",44,2,0,90,"Q",45,3,"0","40-54"
"1","1","female",35,1,0,90,"S",45,2,"0","18-39"
"1","1","male",38,1,0,90,"S",45,2,"0","18-39"
"1","1","male",23,0,0,35.5,"S",35.5,1,"0","18-39"
"0","1","male",64,1,4,263,"S",65.75,6,"0","55-100"
"0","1","male",19,3,2,263,"S",65.75,6,"0","18-39"
"1","1","female",24,3,2,263,"S",65.75,6,"0","18-39"
"1","1","female",23,3,2,263,"S",65.75,6,"0","18-39"
"1","1","male",48,0,0,26.55,"S",26.55,1,"0","40-54"
"0","1","male",38,0,0,0,"S",0,1,"0","18-39"
"1","1","male",47,0,0,30.5,"S",30.5,1,"0","40-54"
"1","1","male",48,1,0,52,"S",26,2,"0","40-54"
"1","1","female",2,1,0,52,"S",26,2,"1","0-12"
"1","2","female",28,1,0,26,"S",26,2,"0","18-39"
"0","2","male",27,0,0,13,"S",13,1,"0","18-39"
"0","3","male",51,0,0,8.05,"S",8.05,1,"0","40-54"
"0","2","male",28,0,0,13.5,"S",13.5,1,"0","18-39"
"0","2","male",57,0,0,12.35,"Q",12.35,1,"0","55-100"
"0","2","male",27,0,0,13,"S",13,1,"0","18-39"
"1","2","female",48,1,2,65,"S",32.5,4,"0","40-54"
"1","2","female",24,1,2,65,"S",32.5,4,"0","18-39"
"0","3","male",18,0,0,8.3,"S",8.3,1,"0","13-17"
"1","2","female",45,0,0,13.5,"S",13.5,1,"0","40-54"
"1","2","female",19,0,0,12.35,"Q",12.35,1,"0","18-39"
"1","2","female",36,1,0,26,"S",26,2,"0","18-39"
"1","2","female",29,1,0,26,"S",26,2,"0","18-39"
"0","2","male",36,0,0,13,"S",13,1,"0","18-39"
"1","2","male",3,1,1,26,"S",8.66666666666667,3,"1","0-12"
"1","2","male",2,1,1,26,"S",8.66666666666667,3,"1","0-12"
"0","2","male",36.5,0,2,26,"S",8.66666666666667,3,"0","18-39"
"1","2","male",1,2,1,39,"S",19.5,4,"1","0-12"
"1","2","female",4,2,1,39,"S",19.5,4,"1","0-12"
"1","2","female",50,0,1,26,"S",13,2,"0","40-54"
"1","2","female",25,0,1,26,"S",13,2,"0","18-39"
"1","2","female",28,0,0,13,"S",13,1,"0","18-39"
"1","2","female",18,0,1,23,"S",11.5,2,"0","13-17"
"1","2","female",34,0,1,23,"S",11.5,2,"0","18-39"
"0","2","male",18,0,0,11.5,"S",11.5,1,"0","13-17"
"0","2","male",23,0,0,13,"S",13,1,"0","18-39"
"0","2","male",24,0,0,13,"S",13,1,"0","18-39"
"0","2","male",48,0,0,13,"S",13,1,"0","40-54"
"1","2","female",32,0,0,13,"S",13,1,"0","18-39"
"0","2","male",25,0,0,13,"S",13,1,"0","18-39"
"1","2","female",30,0,0,12.35,"Q",12.35,1,"0","18-39"
"0","2","male",18,0,0,13,"S",13,1,"0","13-17"
"1","2","female",42,0,0,13,"S",13,1,"0","40-54"
"0","2","male",25,1,0,26,"S",26,2,"0","18-39"
"0","2","male",59,0,0,13.5,"S",13.5,1,"0","55-100"
"0","2","male",47,0,0,15,"S",15,1,"0","40-54"
"1","2","female",28,0,0,13,"S",13,1,"0","18-39"
"0","2","female",38,0,0,13,"S",13,1,"0","18-39"
"1","2","female",14,1,0,30.0708,"C",15.0354,2,"0","13-17"
"0","2","male",32.5,1,0,30.0708,"C",15.0354,2,"0","18-39"
"1","2","female",25,1,1,30,"S",30,3,"0","18-39"
"1","2","male",42,0,0,13,"S",13,1,"0","40-54"
"0","2","male",3,0,0,0,"S",0,1,"1","0-12"
"0","2","male",35,0,0,0,"S",0,1,"0","18-39"
"0","2","male",28,0,0,0,"S",0,1,"0","18-39"
"0","2","male",18,0,0,0,"S",0,1,"0","13-17"
"0","2","male",38,0,0,0,"S",0,1,"0","18-39"
"0","2","male",44,0,0,0,"S",0,1,"0","40-54"
"0","2","male",16,0,0,26,"S",13,1,"0","13-17"
"0","2","male",35,0,0,26,"S",13,1,"0","18-39"
"1","2","female",28,0,0,12.65,"S",12.65,1,"0","18-39"
"1","1","female",29,0,0,211.3375,"S",70.4458333333333,1,"0","18-39"
"1","1","female",43,0,1,211.3375,"S",70.4458333333333,2,"0","40-54"
"1","1","female",15,0,1,211.3375,"S",70.4458333333333,2,"0","13-17"
"1","2","female",24,2,1,27,"S",13.5,4,"0","18-39"
"0","2","male",42,1,0,27,"S",13.5,2,"0","40-54"
"1","2","female",34,0,0,13,"S",13,1,"0","18-39"
"0","2","male",54,1,0,26,"S",13,2,"0","40-54"
"0","2","female",44,1,0,26,"S",13,2,"0","40-54"
"1","2","male",31,0,0,13,"S",13,1,"0","18-39"
"0","2","male",23,0,0,10.5,"S",10.5,1,"0","18-39"
"0","2","male",42,0,0,13,"S",13,1,"0","40-54"
"0","2","male",27,0,0,26,"S",26,1,"0","18-39"
"0","2","male",25,0,0,13,"S",13,1,"0","18-39"
"0","2","male",34,1,0,26,"S",13,2,"0","18-39"
"1","2","female",24,1,0,26,"S",13,2,"0","18-39"
"1","2","male",43,0,0,13,"S",13,1,"0","40-54"
"1","2","male",34,0,0,13,"S",13,1,"0","18-39"
"1","2","female",55,0,0,16,"S",16,1,"0","40-54"
"0","2","male",39,0,0,13,"S",13,1,"0","18-39"
"1","2","female",6,0,1,33,"S",11,2,"1","0-12"
"1","2","female",18,0,0,33,"S",11,1,"0","13-17"
"0","2","male",28,0,1,33,"S",11,2,"0","18-39"
"0","2","male",52,0,0,13.5,"S",13.5,1,"0","40-54"
"1","2","female",24,0,0,13,"S",13,1,"0","18-39"
"1","2","male",0.83,0,2,29,"S",14.5,3,"1","0-12"
"1","2","female",22,1,1,29,"S",14.5,3,"0","18-39"
"0","2","male",28,0,0,13,"S",13,1,"0","18-39"
"0","2","female",24,0,0,13,"S",13,1,"0","18-39"
"0","2","male",50,0,0,13,"S",13,1,"0","40-54"
"1","2","female",13,0,1,19.5,"S",9.75,2,"0","0-12"
"1","2","female",41,0,1,19.5,"S",9.75,2,"0","40-54"
"0","2","male",30,0,0,13,"S",13,1,"0","18-39"
"0","2","male",34,0,0,13,"S",6.5,1,"0","18-39"
"0","2","male",52,0,0,13,"S",6.5,1,"0","40-54"
"1","2","female",30,0,0,13,"S",13,1,"0","18-39"
"1","2","male",0.67,1,1,14.5,"S",7.25,3,"1","0-12"
"1","2","female",24,0,2,14.5,"S",7.25,3,"0","18-39"
"0","2","female",26,1,1,26,"S",26,3,"0","18-39"
"1","2","female",18,0,2,13,"S",13,3,"0","13-17"
"0","2","male",30,0,0,13,"S",13,1,"0","18-39"
"1","2","female",19,0,0,26,"S",13,1,"0","18-39"
"0","2","male",39,0,0,26,"S",13,1,"0","18-39"
"1","3","male",22,0,0,7.225,"C",7.225,1,"0","18-39"
"0","3","male",40,0,0,7.225,"C",7.225,1,"0","18-39"
"0","3","male",32,0,0,7.225,"C",7.225,1,"0","18-39"
"1","3","male",0.42,0,1,8.5167,"C",8.5167,2,"1","0-12"
"1","3","female",41,0,0,7.2292,"C",7.2292,1,"0","40-54"
"0","3","female",17,0,0,14.4583,"C",7.22915,1,"0","13-17"
"0","3","male",16,0,0,14.4583,"C",7.22915,1,"0","13-17"
"0","3","male",45.5,0,0,7.225,"C",7.225,1,"0","40-54"
"0","3","male",21,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",27,0,0,7.225,"C",7.225,1,"0","18-39"
"1","2","female",2,1,1,26,"S",13,3,"1","0-12"
"1","2","female",33,0,2,26,"S",13,3,"0","18-39"
"0","3","male",32,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",17,0,0,7.225,"C",7.225,1,"0","13-17"
"0","3","male",20,0,0,4.0125,"C",4.0125,1,"0","18-39"
"1","3","female",24,0,0,7.225,"C",7.225,1,"0","18-39"
"1","3","female",29,0,2,15.2458,"C",15.2458,3,"0","18-39"
"1","3","male",12,1,0,11.2417,"C",5.62085,2,"0","0-12"
"1","3","female",14,1,0,11.2417,"C",5.62085,2,"0","13-17"
"1","3","male",20,1,1,15.7417,"C",7.87085,3,"0","18-39"
"1","3","female",1,0,2,15.7417,"C",7.87085,3,"1","0-12"
"1","3","female",15,1,0,14.4542,"C",7.2271,2,"0","13-17"
"0","3","male",27,1,0,14.4542,"C",7.2271,2,"0","18-39"
"1","3","male",20,1,1,15.2458,"C",7.6229,3,"0","18-39"
"1","3","male",10,1,1,15.2458,"C",7.6229,3,"0","0-12"
"0","3","male",36,2,0,21.6792,"C",21.6792,3,"0","18-39"
"1","3","male",20,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",40.5,0,0,7.225,"C",7.225,1,"0","40-54"
"0","3","female",19,1,0,14.4542,"C",7.2271,2,"0","18-39"
"0","3","female",14.5,1,0,14.4542,"C",7.2271,2,"0","13-17"
"1","3","female",5,2,1,19.2583,"C",4.814575,4,"1","0-12"
"1","3","female",24,0,3,19.2583,"C",4.814575,4,"0","18-39"
"1","3","female",0.75,2,1,19.2583,"C",4.814575,4,"1","0-12"
"1","3","female",0.75,2,1,19.2583,"C",4.814575,4,"1","0-12"
"1","3","female",15,0,0,7.225,"C",7.225,1,"0","13-17"
"1","3","female",25,0,2,22.3583,"C",11.17915,3,"0","18-39"
"1","3","female",26,1,1,22.3583,"C",11.17915,3,"0","18-39"
"0","3","male",22,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","2","male",44,1,0,26,"S",26,2,"0","40-54"
"0","3","male",0.75,0,0,7.2292,"C",7.2292,1,"1","0-12"
"0","3","male",25,0,0,7.225,"C",7.225,1,"0","18-39"
"0","3","male",26,0,0,7.225,"C",7.225,1,"0","18-39"
"1","3","male",28,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","female",9,1,1,15.2458,"C",7.6229,3,"0","0-12"
"0","3","female",49,0,2,15.2458,"C",7.6229,3,"0","40-54"
"0","3","male",26,1,0,14.4542,"C",14.4542,2,"0","18-39"
"0","3","male",34.5,0,0,6.4375,"C",6.4375,1,"0","18-39"
"0","3","male",30,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",27,0,0,7.2292,"C",7.2292,1,"0","18-39"
"1","3","female",13,0,0,7.2292,"C",7.2292,1,"0","0-12"
"0","3","female",61,1,0,14.4583,"C",14.4583,2,"0","55-100"
"0","3","male",17,1,1,7.2292,"C",7.2292,3,"0","13-17"
"0","3","female",18,0,1,14.4542,"C",7.2271,2,"0","13-17"
"0","3","female",45,0,1,14.4542,"C",7.2271,2,"0","40-54"
"0","3","male",23.5,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",30,0,0,7.225,"C",7.225,1,"0","18-39"
"0","3","male",15,1,1,7.2292,"C",7.2292,3,"0","13-17"
"0","3","male",28.5,0,0,7.2292,"C",7.2292,1,"0","18-39"
"0","3","male",11,0,0,18.7875,"C",9.39375,1,"0","0-12"
"1","3","male",26,0,0,18.7875,"C",9.39375,1,"0","18-39"
"0","3","male",36,0,0,7.2292,"C",7.2292,1,"0","18-39"
"1","1","male",80,0,0,30,"S",30,1,"0","55-100"
"1","2","female",32.5,0,0,13,"S",13,1,"0","18-39"
"1","2","female",36,0,0,13,"S",13,1,"0","18-39"
"0","2","male",21,1,0,11.5,"S",11.5,2,"0","18-39"
"0","2","male",35,0,0,10.5,"S",10.5,1,"0","18-39"
"0","2","male",39,0,0,13,"S",13,1,"0","18-39"
"1","2","female",34,1,1,32.5,"S",32.5,3,"0","18-39"
"0","2","male",30,0,0,13,"S",13,1,"0","18-39"
"0","2","male",54,0,0,26,"S",13,1,"0","40-54"
"0","2","male",46,0,0,26,"S",13,1,"0","40-54"
"0","2","male",19,0,0,13,"S",13,1,"0","18-39"
"0","2","male",23,0,0,13,"S",13,1,"0","18-39"
"1","2","female",36,0,0,13,"S",13,1,"0","18-39"
"0","2","male",34,1,0,21,"S",21,2,"0","18-39"
"0","2","male",19,0,0,10.5,"S",10.5,1,"0","18-39"
"0","2","male",54,0,0,14,"S",14,1,"0","40-54"
"1","2","female",19,1,0,26,"S",13,2,"0","18-39"
"1","2","male",32,1,0,26,"S",13,2,"0","18-39"
"1","2","female",4,1,1,23,"S",23,3,"1","0-12"
"0","2","male",23,2,1,11.5,"S",11.5,4,"0","18-39"
"1","2","female",54,1,3,23,"S",23,5,"0","40-54"
"1","2","female",24,2,3,18.75,"S",6.25,6,"0","18-39"
"1","2","male",3,1,1,18.75,"S",6.25,3,"1","0-12"
"1","2","male",0.83,1,1,18.75,"S",6.25,3,"1","0-12"
"0","2","male",18,0,0,11.5,"S",11.5,1,"0","13-17"
"1","2","female",29,1,0,26,"S",26,2,"0","18-39"
"0","2","male",60,1,1,39,"S",19.5,3,"0","55-100"
"1","2","female",40,1,1,39,"S",19.5,3,"0","18-39"
"0","2","male",23,0,0,13,"S",13,1,"0","18-39"
"0","3","male",34,0,0,6.4958,"S",6.4958,1,"0","18-39"
"1","3","female",18,0,0,7.4958,"S",7.4958,1,"0","13-17"
"0","3","male",18,1,0,6.4958,"S",6.4958,2,"0","13-17"
"0","3","male",37,2,0,7.925,"S",7.925,3,"0","18-39"
"0","3","male",28,2,0,7.925,"S",7.925,3,"0","18-39"
"0","3","male",32,1,0,15.85,"S",7.925,2,"0","18-39"
"1","3","female",33,3,0,15.85,"S",7.925,4,"0","18-39"
"1","3","female",17,4,2,7.925,"S",7.925,7,"0","13-17"
"0","3","male",7,4,1,39.6875,"S",6.61458333333333,6,"1","0-12"
"0","3","male",2,4,1,39.6875,"S",6.61458333333333,6,"1","0-12"
"0","3","male",14,4,1,39.6875,"S",6.61458333333333,6,"0","13-17"
"0","3","female",41,0,5,39.6875,"S",6.61458333333333,6,"0","40-54"
"0","3","male",16,4,1,39.6875,"S",6.61458333333333,6,"0","13-17"
"0","3","male",1,4,1,39.6875,"S",6.61458333333333,6,"1","0-12"
"0","3","male",39,0,0,7.925,"S",7.925,1,"0","18-39"
"1","3","female",2,0,1,12.2875,"S",12.2875,2,"1","0-12"
"0","2","male",34,1,0,21,"S",10.5,2,"0","18-39"
"1","2","female",30,3,0,21,"S",10.5,4,"0","18-39"
"0","2","male",26,0,0,10.5,"S",10.5,1,"0","18-39"
"1","3","male",43,0,0,7.775,"S",7.775,1,"0","40-54"
"0","3","male",21,0,0,7.775,"S",7.775,1,"0","18-39"
"0","3","male",23,0,0,7.775,"S",7.775,1,"0","18-39"
"1","2","female",40,0,0,13,"S",13,1,"0","18-39"
"0","3","male",45,0,0,8.6625,"S",8.6625,1,"0","40-54"
"0","3","male",29,0,0,7.875,"S",7.875,1,"0","18-39"
"0","3","female",30,0,0,8.6625,"S",8.6625,1,"0","18-39"
"0","3","male",17,0,0,8.6625,"S",8.6625,1,"0","13-17"
"0","3","male",42,0,0,8.6625,"S",8.6625,1,"0","40-54"
"0","3","male",38,0,0,8.6625,"S",8.6625,1,"0","18-39"
"0","3","male",17,0,0,8.6625,"S",8.6625,1,"0","13-17"
"0","3","male",17,0,0,8.6625,"S",8.6625,1,"0","13-17"
"0","3","male",20,0,0,8.6625,"S",8.6625,1,"0","18-39"
"0","3","female",20,0,0,8.6625,"S",8.6625,1,"0","18-39"
"0","3","male",21,0,0,8.6625,"S",8.6625,1,"0","18-39"
"1","3","male",27,0,0,8.6625,"S",8.6625,1,"0","18-39"
"0","3","male",26,2,0,8.6625,"S",8.6625,3,"0","18-39"
"1","3","female",4,0,2,22.025,"S",22.025,3,"1","0-12"
"0","3","male",32,0,0,7.25,"S",7.25,1,"0","18-39"
"0","3","male",19,0,0,8.05,"S",8.05,1,"0","18-39"
"0","3","male",22,0,0,8.05,"S",8.05,1,"0","18-39"
"0","3","male",1,0,0,8.4583,"Q",8.4583,1,"1","0-12"
"0","3","female",59,0,0,7.6292,"Q",7.6292,1,"0","55-100"
"1","3","female",33,0,0,7.8292,"Q",7.8292,1,"0","18-39"
"1","3","female",15,0,0,8.0292,"Q",8.0292,1,"0","13-17"
"1","3","female",26,0,0,7.8792,"Q",7.8792,1,"0","18-39"
"1","3","female",26,0,0,7.7875,"Q",7.7875,1,"0","18-39"
"0","3","female",29,0,0,8.1375,"Q",8.1375,1,"0","18-39"
"1","3","female",19,0,0,7.8792,"Q",7.8792,1,"0","18-39"
"1","3","female",26,0,0,7.8792,"Q",7.8792,1,"0","18-39"
"0","3","male",25,0,0,7.8292,"Q",7.8292,1,"0","18-39"
"1","3","female",35,0,0,7.8792,"Q",7.8792,1,"0","18-39"
"0","3","male",16,0,0,7.7333,"Q",7.7333,1,"0","13-17"
"0","3","male",31,0,0,7.75,"Q",7.75,1,"0","18-39"
"1","3","female",50,0,0,7.75,"Q",7.75,1,"0","40-54"
"1","1","male",4,0,2,81.8583,"S",81.8583,3,"1","0-12"
"0","3","male",65,0,0,7.75,"Q",7.75,1,"0","55-100"
"0","3","male",44,0,0,8.7125,"C",8.7125,1,"0","40-54"
"0","3","male",26,0,0,8.05,"S",8.05,1,"0","18-39"
"1","2","female",27,0,0,10.5,"S",10.5,1,"0","18-39"
"0","3","male",24.5,0,0,8.05,"S",8.05,1,"0","18-39"
"0","3","female",22,0,0,8.05,"S",8.05,1,"0","18-39"
"1","3","female",21,0,0,7.65,"S",7.65,1,"0","18-39"
"0","3","male",24,0,0,8.05,"S",8.05,1,"0","18-39"
"0","3","male",29,0,0,8.05,"S",8.05,1,"0","18-39"
"0","3","male",61,0,0,6.2375,"S",6.2375,1,"0","55-100"
"1","3","female",36,1,0,17.4,"S",17.4,2,"0","18-39"
"0","3","female",31,1,0,18,"S",18,2,"0","18-39"
"0","3","female",18,2,0,18,"S",9,3,"0","13-17"
"0","3","male",16,2,0,18,"S",9,3,"0","13-17"
"0","3","male",47,0,0,9,"S",9,1,"0","40-54"
"0","3","male",22,0,0,9,"S",9,1,"0","18-39"
"0","3","male",20,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",28,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","female",10,0,2,24.15,"S",8.05,3,"0","0-12"
"0","3","male",36,1,1,24.15,"S",8.05,3,"0","18-39"
"0","3","female",30,1,1,24.15,"S",8.05,3,"0","18-39"
"1","3","male",30,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",21,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",16,0,0,9.5,"S",9.5,1,"0","13-17"
"1","3","male",29,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",33,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",24,0,0,9.5,"S",9.5,1,"0","18-39"
"0","3","male",28,0,0,9.5,"S",9.5,1,"0","18-39"
